District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),latitude,longitude
Chau_Thanh,10.396044,105.180167,WS,T,2022-03-24,1.32,7200,10.396044,105.180167
Chau_Thanh,10.37346,105.184697,WS,T,2022-03-25,1.65,6800,10.37346,105.184697
Chau_Thanh,10.377238,105.165363,WS,T,2022-03-25,2.2,7200,10.377238,105.165363
Chau_Thanh,10.381544,105.174719,WS,T,2022-03-25,2.2,8000,10.381544,105.174719
Chau_Thanh,10.384444,105.3447,WS,T,2022-03-25,2.09,8000,10.384444,105.3447
Chau_Thanh,10.391149,105.359279,WS,T,2022-03-25,2.035,7040,10.391149,105.359279
Chau_Thanh,10.391491,105.34899,WS,T,2022-03-25,2.2,7600,10.391491,105.34899
Chau_Thanh,10.399353,105.356462,WS,T,2022-03-25,2.2,7000,10.399353,105.356462
Chau_Thanh,10.400189,105.331053,WS,T,2022-03-25,1.32,7000,10.400189,105.331053
Chau_Thanh,10.405902,105.36283,WS,T,2022-03-25,2.53,8000,10.405902,105.36283
Chau_Thanh,10.411649,105.370659,WS,T,2022-03-25,1.43,7760,10.411649,105.370659
Chau_Thanh,10.412537,105.321768,WS,T,2022-03-25,3.08,7000,10.412537,105.321768
Chau_Thanh,10.417429,105.363577,WS,T,2022-03-25,3.3,6400,10.417429,105.363577
Chau_Thanh,10.419561,105.277369,WS,T,2022-03-25,1.43,7200,10.419561,105.277369
Chau_Thanh,10.434116,105.27315,WS,T,2022-03-25,2.2,7000,10.434116,105.27315
Chau_Thanh,10.43531,105.292557,WS,T,2022-03-25,1.87,7600,10.43531,105.292557
Chau_Thanh,10.443492,105.281103,WS,T,2022-03-25,3.3,8000,10.443492,105.281103
Chau_Thanh,10.458369,105.270803,WS,T,2022-03-25,1.87,7200,10.458369,105.270803
Chau_Thanh,10.470013,105.264425,WS,T,2022-03-25,1.54,7200,10.470013,105.264425
Chau_Thanh,10.470305,105.287062,WS,T,2022-03-25,1.43,7000,10.470305,105.287062
Chau_Thanh,10.485812,105.267525,WS,T,2022-03-25,2.2,7040,10.485812,105.267525
Chau_Thanh,10.494104,105.291042,WS,D,2022-03-25,1.76,7000,10.494104,105.291042
Chau_Thanh,10.400449,105.171793,WS,T,2022-03-26,1.43,8000,10.400449,105.171793
Chau_Thanh,10.402793,105.189574,WS,T,2022-03-26,1.54,6800,10.402793,105.189574
Chau_Thanh,10.405702,105.208668,WS,T,2022-03-26,1.32,7500,10.405702,105.208668
Chau_Thanh,10.412311,105.176834,WS,T,2022-03-26,1.54,8000,10.412311,105.176834
Chau_Thanh,10.414226,105.195214,WS,T,2022-03-26,1.87,6400,10.414226,105.195214
Chau_Thanh,10.417324,105.208881,WS,T,2022-03-26,3.3,7500,10.417324,105.208881
Chau_Thanh,10.426155,105.176598,WS,T,2022-03-26,2.09,7200,10.426155,105.176598
Chau_Thanh,10.427104,105.210954,WS,T,2022-03-26,1.65,7200,10.427104,105.210954
Chau_Thanh,10.437524,105.185343,WS,D,2022-03-26,2.75,8000,10.437524,105.185343
Chau_Thanh,10.437524,105.202166,WS,D,2022-03-26,2.31,7200,10.437524,105.202166
Chau_Thanh,10.445632,105.21046,WS,D,2022-03-26,1.32,7500,10.445632,105.21046
Chau_Thanh,10.447684,105.190977,WS,T,2022-03-26,1.98,8000,10.447684,105.190977
Chau_Thanh,10.44819,105.181879,WS,T,2022-03-26,3.245,6400,10.44819,105.181879
Chau_Thanh,10.452516,105.191857,WS,T,2022-03-26,2.2,7200,10.452516,105.191857
Chau_Thanh,10.452537,105.205118,WS,T,2022-03-26,5.5,7200,10.452537,105.205118
Chau_Thanh,10.452718,105.220233,WS,T,2022-03-26,1.32,7500,10.452718,105.220233
Chau_Thanh,10.458467,105.196191,WS,T,2022-03-26,1.87,7200,10.458467,105.196191
Chau_Thanh,10.375656,105.29185,WS,T,2022-03-27,5.83,6400,10.375656,105.29185
Chau_Thanh,10.386495,105.284636,WS,T,2022-03-27,1.98,7000,10.386495,105.284636
Chau_Thanh,10.396712,105.324921,WS,T,2022-03-27,2.53,7200,10.396712,105.324921
Chau_Thanh,10.396951,105.281083,WS,T,2022-03-27,3.3,7200,10.396951,105.281083
Chau_Thanh,10.399444,105.118528,WS,T,2022-03-27,1.65,7000,10.399444,105.118528
Chau_Thanh,10.399645,105.141286,WS,T,2022-03-27,5.5,8000,10.399645,105.141286
Chau_Thanh,10.400025,105.152916,WS,T,2022-03-27,2.53,7000,10.400025,105.152916
Chau_Thanh,10.403175,105.123726,WS,D,2022-03-27,4.4,6400,10.403175,105.123726
Chau_Thanh,10.40466,105.311554,WS,T,2022-03-27,1.87,6800,10.40466,105.311554
Chau_Thanh,10.406597,105.221367,WS,T,2022-03-27,1.32,7000,10.406597,105.221367
Chau_Thanh,10.407581,105.1521,WS,T,2022-03-27,2.75,7000,10.407581,105.1521
Chau_Thanh,10.408003,105.139183,WS,T,2022-03-27,2.64,7200,10.408003,105.139183
Chau_Thanh,10.408214,105.131329,WS,T,2022-03-27,1.98,7000,10.408214,105.131329
Chau_Thanh,10.409187,105.288345,WS,T,2022-03-27,2.64,7600,10.409187,105.288345
Chau_Thanh,10.410742,105.220616,WS,T,2022-03-27,2.53,7400,10.410742,105.220616
Chau_Thanh,10.413742,105.22261,WS,T,2022-03-27,1.65,6800,10.413742,105.22261
Chau_Thanh,10.413908,105.234515,WS,T,2022-03-27,1.65,7500,10.413908,105.234515
Chau_Thanh,10.415236,105.156765,WS,T,2022-03-27,1.54,8000,10.415236,105.156765
Chau_Thanh,10.41636,105.142144,WS,T,2022-03-27,1.43,7000,10.41636,105.142144
Chau_Thanh,10.417011,105.261676,WS,T,2022-03-27,1.54,7900,10.417011,105.261676
Chau_Thanh,10.419552,105.116409,WS,D,2022-03-27,3.3,7200,10.419552,105.116409
Chau_Thanh,10.420174,105.16361,WS,T,2022-03-27,2.2,8000,10.420174,105.16361
Chau_Thanh,10.420483,105.223648,WS,T,2022-03-27,3.08,8000,10.420483,105.223648
Chau_Thanh,10.420702,105.15698,WS,T,2022-03-27,3.3,7200,10.420702,105.15698
Chau_Thanh,10.421066,105.136822,WS,D,2022-03-27,2.75,7000,10.421066,105.136822
Chau_Thanh,10.422463,105.151846,WS,T,2022-03-27,2.75,7200,10.422463,105.151846
Chau_Thanh,10.42324,105.126544,WS,D,2022-03-27,1.87,7200,10.42324,105.126544
Chau_Thanh,10.426536,105.115181,WS,T,2022-03-27,1.43,7200,10.426536,105.115181
Chau_Thanh,10.428426,105.156744,WS,T,2022-03-27,1.65,7200,10.428426,105.156744
Chau_Thanh,10.429142,105.151556,WS,T,2022-03-27,3.08,7000,10.429142,105.151556
Chau_Thanh,10.429339,105.125493,WS,D,2022-03-27,3.3,6800,10.429339,105.125493
Chau_Thanh,10.430085,105.221996,WS,D,2022-03-27,2.75,7760,10.430085,105.221996
Chau_Thanh,10.43062,105.165627,WS,T,2022-03-27,1.65,7600,10.43062,105.165627
Chau_Thanh,10.433791,105.231265,WS,T,2022-03-27,1.98,6800,10.433791,105.231265
Chau_Thanh,10.435839,105.132981,WS,D,2022-03-27,1.21,7920,10.435839,105.132981
Chau_Thanh,10.438048,105.153225,WS,T,2022-03-27,5.5,8000,10.438048,105.153225
Chau_Thanh,10.451085,105.243664,WS,T,2022-03-27,1.43,7200,10.451085,105.243664
Chau_Thanh,10.454948,105.23029,WS,T,2022-03-27,1.65,7200,10.454948,105.23029
Chau_Thanh,10.455571,105.240074,WS,T,2022-03-27,2.09,7200,10.455571,105.240074
Chau_Thanh,10.467229,105.24767,WS,T,2022-03-27,1.54,7200,10.467229,105.24767
Thoai_Son,10.257715,105.375007,WS,T,2022-03-28,1.65,7200,10.257715,105.375007
Thoai_Son,10.275826,105.364451,WS,T,2022-03-28,2.1,6960,10.275826,105.364451
Thoai_Son,10.292156,105.361294,WS,T,2022-03-28,2.3,7600,10.292156,105.361294
Thoai_Son,10.3037,105.354593,WS,T,2022-03-28,4.0,7600,10.3037,105.354593
Thoai_Son,10.314233,105.359823,WS,D,2022-03-28,1.52,8000,10.314233,105.359823
Thoai_Son,10.34297,105.382435,WS,D,2022-03-28,1.87,7200,10.34297,105.382435
Chau_Phu,10.468679,105.203699,WS,T,2022-04-01,1.3,8000,10.468679,105.203699
Chau_Phu,10.48195,105.238448,WS,T,2022-04-01,2.0,6400,10.48195,105.238448
Chau_Phu,10.482003,105.203866,WS,T,2022-04-01,3.0,7200,10.482003,105.203866
Chau_Phu,10.494453,105.241281,WS,T,2022-04-01,4.3,7600,10.494453,105.241281
Chau_Phu,10.501829,105.273585,WS,T,2022-04-01,3.5,8000,10.501829,105.273585
Chau_Phu,10.50203,105.222373,WS,T,2022-04-01,3.5,7760,10.50203,105.222373
Chau_Phu,10.50915,105.265098,WS,T,2022-04-01,2.43,7200,10.50915,105.265098
Chau_Phu,10.510542,105.248554,WS,T,2022-04-01,3.4,6800,10.510542,105.248554
Chau_Phu,10.524082,105.268907,WS,D,2022-04-01,2.1,6400,10.524082,105.268907
Chau_Phu,10.524439,105.254678,WS,D,2022-04-01,4.0,6800,10.524439,105.254678
Chau_Phu,10.536277,105.293087,WS,T,2022-04-01,2.0,7760,10.536277,105.293087
Chau_Phu,10.542998,105.261159,WS,D,2022-04-01,4.9,7040,10.542998,105.261159
Chau_Phu,10.549477,105.273725,WS,D,2022-04-01,1.55,7200,10.549477,105.273725
Chau_Phu,10.485464,105.251956,WS,T,2022-04-02,2.0,7040,10.485464,105.251956
Chau_Phu,10.44784,105.141425,WS,D,2022-04-03,2.0,6400,10.44784,105.141425
Chau_Phu,10.458071,105.162504,WS,D,2022-04-03,2.0,6400,10.458071,105.162504
Chau_Phu,10.461453,105.172294,WS,D,2022-04-03,2.25,6400,10.461453,105.172294
Chau_Phu,10.464233,105.183189,WS,T,2022-04-03,3.7,6400,10.464233,105.183189
Chau_Phu,10.467778,105.163448,WS,D,2022-04-03,4.9,6960,10.467778,105.163448
Chau_Phu,10.476738,105.227333,WS,T,2022-04-03,4.0,7200,10.476738,105.227333
Chau_Phu,10.505489,105.203926,WS,D,2022-04-03,1.4,7200,10.505489,105.203926
Chau_Phu,10.514912,105.216308,WS,D,2022-04-03,2.0,7040,10.514912,105.216308
Chau_Phu,10.522871,105.184845,WS,T,2022-04-03,2.5,7040,10.522871,105.184845
Chau_Phu,10.527792,105.204924,WS,T,2022-04-03,3.2,7200,10.527792,105.204924
Chau_Phu,10.474439,105.216928,WS,T,2022-04-04,7.0,6800,10.474439,105.216928
Chau_Phu,10.498551,105.167513,WS,T,2022-04-04,1.4,7200,10.498551,105.167513
Thoai_Son,10.195117,105.200047,WS,T,2022-04-05,3.2,7200,10.195117,105.200047
Thoai_Son,10.208515,105.202809,WS,T,2022-04-05,2.67,7200,10.208515,105.202809
Thoai_Son,10.22418,105.198785,WS,T,2022-04-05,2.5,6640,10.22418,105.198785
Thoai_Son,10.227343,105.230821,WS,T,2022-04-05,1.8,7200,10.227343,105.230821
Thoai_Son,10.228207,105.177659,WS,T,2022-04-05,4.0,6400,10.228207,105.177659
Thoai_Son,10.236082,105.210347,WS,T,2022-04-05,2.0,8000,10.236082,105.210347
Chau_Phu,10.46658,105.139698,WS,D,2022-04-06,3.0,7600,10.46658,105.139698
Chau_Phu,10.540457,105.207852,WS,D,2022-04-06,1.2,6400,10.540457,105.207852
Chau_Phu,10.550361,105.218667,WS,D,2022-04-06,3.03,7040,10.550361,105.218667
Chau_Phu,10.445962,105.123164,WS,D,2022-04-07,3.0,7200,10.445962,105.123164
Thoai_Son,10.297494,105.145318,WS,T,2022-04-09,9.0,6640,10.297494,105.145318
Thoai_Son,10.30701,105.130668,WS,T,2022-04-09,4.9,7200,10.30701,105.130668
Thoai_Son,10.248814,105.361138,WS,T,2022-04-10,5.0,8000,10.248814,105.361138
Thoai_Son,10.249044,105.347198,WS,T,2022-04-10,3.5,7200,10.249044,105.347198
Thoai_Son,10.252308,105.334358,WS,T,2022-04-10,2.0,7600,10.252308,105.334358
Thoai_Son,10.258961,105.323388,WS,T,2022-04-10,3.0,7760,10.258961,105.323388
Thoai_Son,10.27049,105.316832,WS,T,2022-04-10,2.5,7600,10.27049,105.316832
Thoai_Son,10.272277,105.291556,WS,T,2022-04-10,1.5,6400,10.272277,105.291556
Thoai_Son,10.277579,105.307934,WS,T,2022-04-10,2.3,8000,10.277579,105.307934
Thoai_Son,10.282445,105.330149,WS,T,2022-04-10,2.04,6640,10.282445,105.330149
Thoai_Son,10.28697,105.341571,WS,T,2022-04-10,1.78,6640,10.28697,105.341571
Thoai_Son,10.290802,105.32462,WS,T,2022-04-10,1.9,7200,10.290802,105.32462
Thoai_Son,10.291025,105.299533,WS,T,2022-04-10,1.5,7600,10.291025,105.299533
Thoai_Son,10.298963,105.275991,WS,T,2022-04-10,2.1,7600,10.298963,105.275991
Thoai_Son,10.306886,105.290958,WS,T,2022-04-10,1.85,8000,10.306886,105.290958
Thoai_Son,10.309795,105.31553,WS,T,2022-04-10,2.0,8000,10.309795,105.31553
Thoai_Son,10.316024,105.309873,WS,T,2022-04-10,1.39,7440,10.316024,105.309873
Thoai_Son,10.328521,105.30163,WS,T,2022-04-10,1.6,6800,10.328521,105.30163
Chau_Thanh,10.356519,105.30945,WS,T,2022-04-10,5.0,7200,10.356519,105.30945
Chau_Thanh,10.359519,105.360913,WS,T,2022-04-10,4.0,8000,10.359519,105.360913
Chau_Thanh,10.363786,105.288188,WS,T,2022-04-10,2.8,8000,10.363786,105.288188
Chau_Thanh,10.364433,105.327337,WS,T,2022-04-10,2.0,7200,10.364433,105.327337
Chau_Thanh,10.369819,105.304833,WS,T,2022-04-10,2.2,7200,10.369819,105.304833
Chau_Thanh,10.374447,105.330923,WS,T,2022-04-10,3.2,7600,10.374447,105.330923
Chau_Thanh,10.38045,105.349866,WS,T,2022-04-10,2.5,7200,10.38045,105.349866
Chau_Phu,10.455882,105.126628,WS,D,2022-04-10,1.9,6800,10.455882,105.126628
Chau_Phu,10.475484,105.13594,WS,T,2022-04-10,2.1,7200,10.475484,105.13594
Chau_Phu,10.479304,105.102943,WS,D,2022-04-10,2.9,6800,10.479304,105.102943
Chau_Phu,10.492507,105.122386,WS,T,2022-04-10,3.4,6400,10.492507,105.122386
Chau_Phu,10.499686,105.158111,WS,D,2022-04-10,2.1,6400,10.499686,105.158111
Chau_Phu,10.505349,105.165087,WS,T,2022-04-10,1.7,6880,10.505349,105.165087
Chau_Phu,10.510203,105.111601,WS,T,2022-04-10,2.1,7920,10.510203,105.111601
Chau_Phu,10.513536,105.127422,WS,D,2022-04-10,2.4,6400,10.513536,105.127422
Chau_Phu,10.521024,105.146349,WS,T,2022-04-10,1.5,6400,10.521024,105.146349
Chau_Phu,10.522164,105.178664,WS,T,2022-04-10,3.6,7760,10.522164,105.178664
Chau_Phu,10.522821,105.229739,WS,T,2022-04-10,5.4,6400,10.522821,105.229739
Chau_Phu,10.5263,105.091077,WS,T,2022-04-10,1.62,7200,10.5263,105.091077
Chau_Phu,10.527277,105.237319,WS,T,2022-04-10,2.9,6880,10.527277,105.237319
Chau_Phu,10.531488,105.186775,WS,T,2022-04-10,3.0,8000,10.531488,105.186775
Chau_Phu,10.533759,105.243145,WS,T,2022-04-10,2.8,8000,10.533759,105.243145
Chau_Phu,10.534074,105.126326,WS,T,2022-04-10,3.0,8000,10.534074,105.126326
Chau_Phu,10.534615,105.134916,WS,T,2022-04-10,2.56,6800,10.534615,105.134916
Chau_Phu,10.536087,105.175145,WS,T,2022-04-10,5.0,7040,10.536087,105.175145
Chau_Phu,10.539297,105.225673,WS,T,2022-04-10,2.0,8000,10.539297,105.225673
Chau_Phu,10.545098,105.112895,WS,D,2022-04-10,3.6,6400,10.545098,105.112895
Chau_Phu,10.546629,105.163964,WS,T,2022-04-10,1.95,7200,10.546629,105.163964
Chau_Phu,10.546679,105.126512,WS,D,2022-04-10,1.74,6400,10.546679,105.126512
Chau_Phu,10.546857,105.181035,WS,T,2022-04-10,2.6,6800,10.546857,105.181035
Chau_Phu,10.547628,105.146859,WS,T,2022-04-10,1.65,7200,10.547628,105.146859
Chau_Phu,10.548566,105.198194,WS,T,2022-04-10,2.7,6800,10.548566,105.198194
Chau_Phu,10.552114,105.091399,WS,D,2022-04-10,3.6,7760,10.552114,105.091399
Chau_Phu,10.554634,105.1522,WS,D,2022-04-10,2.3,7040,10.554634,105.1522
Chau_Phu,10.555822,105.1711,WS,T,2022-04-10,1.95,7200,10.555822,105.1711
Chau_Phu,10.558195,105.203328,WS,T,2022-04-10,1.4,8000,10.558195,105.203328
Chau_Phu,10.559295,105.124493,WS,T,2022-04-10,1.8,7200,10.559295,105.124493
Chau_Phu,10.562531,105.169469,WS,T,2022-04-10,1.25,7600,10.562531,105.169469
Chau_Phu,10.564704,105.19729,WS,T,2022-04-10,2.0,7200,10.564704,105.19729
Chau_Phu,10.56526,105.088832,WS,T,2022-04-10,1.65,8000,10.56526,105.088832
Chau_Phu,10.565735,105.172074,WS,T,2022-04-10,2.0,7200,10.565735,105.172074
Chau_Phu,10.567359,105.177342,WS,T,2022-04-10,1.8,7200,10.567359,105.177342
Chau_Phu,10.570816,105.208925,WS,T,2022-04-10,2.15,7200,10.570816,105.208925
Chau_Phu,10.571202,105.135919,WS,T,2022-04-10,1.8,7200,10.571202,105.135919
Chau_Phu,10.571793,105.16066,WS,T,2022-04-10,4.0,7200,10.571793,105.16066
Chau_Phu,10.576126,105.183375,WS,T,2022-04-10,1.5,7200,10.576126,105.183375
Chau_Phu,10.580993,105.154027,WS,T,2022-04-10,2.0,7200,10.580993,105.154027
Chau_Phu,10.581404,105.200348,WS,T,2022-04-10,1.8,7200,10.581404,105.200348
Chau_Phu,10.585739,105.193578,WS,T,2022-04-10,2.3,7040,10.585739,105.193578
Chau_Phu,10.590564,105.128439,WS,T,2022-04-10,5.0,8000,10.590564,105.128439
Chau_Phu,10.593644,105.075243,WS,T,2022-04-10,2.0,6800,10.593644,105.075243
Chau_Phu,10.603094,105.127872,WS,T,2022-04-10,2.3,8000,10.603094,105.127872
Chau_Phu,10.612095,105.141919,WS,T,2022-04-10,2.5,8000,10.612095,105.141919
Chau_Phu,10.619493,105.095029,WS,T,2022-04-10,2.3,6800,10.619493,105.095029
Chau_Phu,10.626774,105.140369,WS,T,2022-04-10,4.0,7200,10.626774,105.140369
Chau_Phu,10.628311,105.12253,WS,T,2022-04-10,2.0,8000,10.628311,105.12253
Chau_Phu,10.634849,105.13078,WS,T,2022-04-10,4.0,6400,10.634849,105.13078
Chau_Phu,10.636733,105.155635,WS,T,2022-04-10,3.2,8000,10.636733,105.155635
Chau_Phu,10.64394,105.165296,WS,T,2022-04-10,1.4,6400,10.64394,105.165296
Chau_Phu,10.64683,105.119494,WS,T,2022-04-10,2.4,7200,10.64683,105.119494
Chau_Phu,10.649258,105.142121,WS,D,2022-04-10,1.75,8000,10.649258,105.142121
Chau_Phu,10.653314,105.174185,WS,T,2022-04-10,3.0,7200,10.653314,105.174185
Chau_Phu,10.663484,105.168203,WS,D,2022-04-10,3.0,7200,10.663484,105.168203
Chau_Phu,10.676956,105.147011,WS,D,2022-04-10,3.2,7200,10.676956,105.147011
Thoai_Son,10.327543,105.350908,WS,T,2022-04-12,2.0,7600,10.327543,105.350908
Thoai_Son,10.331447,105.158675,WS,T,2022-04-12,4.0,7840,10.331447,105.158675
Thoai_Son,10.33791,105.357013,WS,T,2022-04-12,2.0,7200,10.33791,105.357013
Thoai_Son,10.339092,105.325101,WS,T,2022-04-12,1.5,6640,10.339092,105.325101
Thoai_Son,10.340626,105.172116,WS,T,2022-04-12,3.0,7200,10.340626,105.172116
Thoai_Son,10.342217,105.346028,WS,T,2022-04-12,3.0,7600,10.342217,105.346028
Thoai_Son,10.342299,105.365285,WS,T,2022-04-12,4.0,6640,10.342299,105.365285
Thoai_Son,10.342809,105.315657,WS,T,2022-04-12,3.0,6640,10.342809,105.315657
Thoai_Son,10.345924,105.270456,WS,T,2022-04-12,1.5,7200,10.345924,105.270456
Thoai_Son,10.346876,105.206507,WS,T,2022-04-12,4.0,8000,10.346876,105.206507
Thoai_Son,10.358094,105.189541,WS,T,2022-04-12,2.0,7200,10.358094,105.189541
Thoai_Son,10.35853,105.127583,WS,T,2022-04-12,4.2,6400,10.35853,105.127583
Thoai_Son,10.364419,105.164984,WS,T,2022-04-12,7.8,6640,10.364419,105.164984
Thoai_Son,10.368014,105.238516,WS,T,2022-04-12,6.2,7200,10.368014,105.238516
Thoai_Son,10.368598,105.136423,WS,T,2022-04-12,1.72,6400,10.368598,105.136423
Chau_Phu,10.467721,105.192464,WS,D,2022-04-12,1.95,7200,10.467721,105.192464
Chau_Phu,10.557185,105.227883,WS,D,2022-04-12,2.95,7200,10.557185,105.227883
Chau_Phu,10.595261,105.15779,WS,D,2022-04-12,2.04,6800,10.595261,105.15779
Chau_Phu,10.599524,105.186221,WS,D,2022-04-12,1.3,6400,10.599524,105.186221
Chau_Phu,10.603991,105.147312,WS,D,2022-04-12,3.34,7920,10.603991,105.147312
Chau_Phu,10.605148,105.164514,WS,D,2022-04-12,3.0,7200,10.605148,105.164514
Chau_Phu,10.61225,105.175364,WS,D,2022-04-12,4.0,7200,10.61225,105.175364
Chau_Phu,10.630244,105.19128,WS,D,2022-04-12,6.0,6800,10.630244,105.19128
Thoai_Son,10.29466,105.248528,WS,T,2022-04-13,2.2,7840,10.29466,105.248528
Thoai_Son,10.303589,105.234936,WS,T,2022-04-13,2.0,6400,10.303589,105.234936
Thoai_Son,10.304295,105.27046,WS,T,2022-04-13,2.3,7200,10.304295,105.27046
Thoai_Son,10.307585,105.254064,WS,T,2022-04-13,1.7,7200,10.307585,105.254064
Thoai_Son,10.319903,105.230831,WS,T,2022-04-13,1.62,6400,10.319903,105.230831
Thoai_Son,10.331036,105.232626,WS,T,2022-04-13,2.6,8000,10.331036,105.232626
Thoai_Son,10.33114,105.278682,WS,T,2022-04-13,2.1,8000,10.33114,105.278682
Thoai_Son,10.332664,105.264027,WS,T,2022-04-13,4.0,6400,10.332664,105.264027
Thoai_Son,10.28859,105.207594,WS,T,2022-04-16,1.75,8000,10.28859,105.207594
Thoai_Son,10.309139,105.215737,WS,T,2022-04-16,3.6,7200,10.309139,105.215737
Thoai_Son,10.318227,105.218967,WS,T,2022-04-16,3.5,8000,10.318227,105.218967
Thoai_Son,10.321392,105.177554,WS,T,2022-04-16,6.0,7200,10.321392,105.177554
Thoai_Son,10.327832,105.216844,WS,T,2022-04-16,6.0,8000,10.327832,105.216844
Thoai_Son,10.23625,105.234527,WS,T,2022-04-20,2.3,8000,10.23625,105.234527
Thoai_Son,10.244181,105.230614,WS,T,2022-04-20,2.3,6400,10.244181,105.230614
Thoai_Son,10.257436,105.217205,WS,T,2022-04-20,2.3,7200,10.257436,105.217205
Thoai_Son,10.265814,105.21507,WS,T,2022-04-20,5.0,7200,10.265814,105.21507
Thoai_Son,10.275419,105.234563,WS,T,2022-04-20,3.0,6400,10.275419,105.234563
Thoai_Son,10.275776,105.258985,WS,T,2022-04-20,1.5,6400,10.275776,105.258985
Thoai_Son,10.280379,105.241273,WS,T,2022-04-20,2.54,6400,10.280379,105.241273
Thoai_Son,10.281994,105.246519,WS,T,2022-04-20,3.2,6400,10.281994,105.246519
Thoai_Son,10.283233,105.260351,WS,T,2022-04-20,5.0,7200,10.283233,105.260351
Thoai_Son,10.227394,105.164987,WS,T,2022-04-22,3.0,8000,10.227394,105.164987
Thoai_Son,10.245058,105.178415,WS,T,2022-04-22,1.7,7200,10.245058,105.178415
Thoai_Son,10.24991,105.206339,WS,T,2022-04-22,4.0,8000,10.24991,105.206339
Thoai_Son,10.254048,105.172039,WS,T,2022-04-22,3.6,7200,10.254048,105.172039
Thoai_Son,10.255579,105.190922,WS,T,2022-04-22,1.65,8000,10.255579,105.190922
Thoai_Son,10.262681,105.14739,WS,T,2022-04-22,5.0,6400,10.262681,105.14739
